Video_Code,Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Velocity_Vals_m_sec,Data_Index
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.660146624,58
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.54124239,59
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.666043713,60
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.816208017,61
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.298878801,1
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.561137286,2
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.535331896,3
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.47837062,4
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.54628564,5
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.467932665,6
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.529650876,7
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.509157391,8
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.503801455,9
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.55608032,10
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.51211668,11
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.467252037,12
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.546622311,13
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.518980933,14
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.471686127,15
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.556167537,16
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.4896088,17
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.488111758,18
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.534021977,19
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.547166326,20
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.504184368,21
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.459772011,22
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.562297946,23
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.482619811,24
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.525180939,25
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.508329851,26
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.511154296,27
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.505978029,28
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.494519808,29
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.564753879,30
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.491083371,31
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.521111578,32
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.553300375,33
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.529921122,34
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.495533716,35
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.55703584,36
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.540770191,37
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.503467335,38
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.546573209,39
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.568101304,40
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.55583702,41
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.583860195,42
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.529795526,43
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.555836853,44
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.572021093,45
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.563974325,46
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.58704348,47
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.586881275,48
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.615827585,49
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.591960654,50
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.581468636,51
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.610150046,52
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.624931408,53
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.667892069,54
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.536316142,55
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.302393789,56
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,NA,57
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,NA,58
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,NA,59
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,NA,60
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,NA,61
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.497504195,1
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.689857027,2
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.717992917,3
