Video_Code,Set,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Num_Vals,Velocity_Vals_m_sec,Species,Pappus_base_width_f,Pappus_tip_width_f,Achene_tip_width_f,Achene_mid_width_f,Achene_length_lin_f,Achene_twopt_length_f,Achene_twopt_angle_f,Achene_max_width_f,Pappus_perp_max_length_f,Pappus_base_width_s,Pappus_tip_width_s,Achene_tip_width_s,Achene_mid_width_s,Achene_length_lin_s,Achene_twopt_length_s,Achene_twopt_angle_s,Achene_max_width_s,Pappus_perp_max_length_s,pappus_tip_area,Achene.twopt.angle.dev.max,pap.tip.cyp.max.area.ratio,pap.tip.pap.base.area.ratio,Pap.len.ach.len.ratio,pap.tip.ecc,coneSA
Afre1m2n5d1,A,1,2,5,d,1,0.064,Afre1m2n5,24,1.063504506,L. fremontii,0.247,0.957,0.164,0.271,1.236,1.244,170.924,0.312,1.363,0.26,0.361,0.111,0.315,1.314,1.34,158.173,0.335,1.446,0.27133700129607813,21.826999999999998,3.3053673938002293,5.379585798816568,1.1015686274509806,0.9261234847276211,0.5102841588929811
Afre1m2n5d2,A,1,2,5,d,2,0.059,Afre1m2n5,19,1.292064635,L. fremontii,0.265,0.356,0.137,0.295,1.122,1.156,165.692,0.318,1.539,0.26,0.798,0.152,0.274,1.085,1.105,171.109,0.306,1.686,0.223122193443269,14.307999999999993,2.91947219139228,4.123193033381712,1.4612596284549162,0.8949755022434381,0.45822755709132423
Afre1m2n5d3,A,1,2,5,d,3,0.068,Afre1m2n5,15,1.572980651,L. fremontii,0.295,0.724,0.148,0.275,1.143,1.154,171.827,0.322,1.877,0.254,0.491,0.162,0.315,1.129,1.163,175.209,0.349,1.87,0.2791964807171969,8.173000000000002,3.163288188079517,4.744214600293607,1.649207746478873,0.7348987916282711,0.4940351756443239
Afre1m2n5r1,A,1,2,5,r,1,0.073,Afre1m2n5,16,1.479922814,L. fremontii,0.299,0.491,0.139,0.311,1.241,1.246,170.893,0.344,1.511,0.218,0.598,0.106,0.196,1.339,1.364,160.905,0.279,1.468,0.23060703794044715,19.095,3.05928565474702,4.504587155963303,1.1546511627906977,0.5708271810736184,0.5295359401720805
Afre1m2n5r2,A,1,2,5,r,2,0.07,Afre1m2n5,18,1.291361463,L. fremontii,0.278,0.364,0.128,0.278,1.261,1.291,159.528,0.325,1.143,0.297,0.571,0.176,0.298,1.258,1.28,163.458,0.346,1.115,0.16324029587318997,20.47200000000001,1.848323699421965,2.5173073662282293,0.8963874553394203,0.7704684685822222,0.5726360669907598
Afre1m2n5r3,A,1,2,5,r,3,0.074,Afre1m2n5,18,1.326676333,L. fremontii,0.305,0.153,0.155,0.292,1.242,1.254,167.146,0.337,0.257,0.247,0.252,0.129,0.291,1.243,1.278,158.22,0.328,0.24,0.03028181158795401,21.78,0.3488094376492726,0.5117939868586978,0.19999999999999998,0.794592695045964,0.5434095318337125
Bfre2m1n5d1,B,2,1,5,d,1,0.037,Bfre2m1n5,20,1.17765051,L. fremontii,0.248,0.436,0.138,0.229,1.056,1.058,172.77,0.28,1.65,0.269,0.354,0.137,0.294,1.062,1.08,168.176,0.327,1.581,0.12122149413142373,11.824000000000012,1.6857142857142855,2.313586761002518,1.525495750708215,0.5837595286364057,0.43336692082631595
Bfre2m1n5d2,B,2,1,5,d,2,0.043,Bfre2m1n5,24,0.969632156,L. fremontii,0.295,0.598,0.184,0.336,1.162,1.171,169.93,0.37,1.709,0.252,0.768,0.15,0.168,1.16,1.169,176.461,0.26,1.657,0.36070510211458945,10.069999999999993,4.774054054054054,6.177885391444714,1.449612403100775,0.6274636772217488,0.5029621831926926
Bfre2m1n5d3,B,2,1,5,d,3,0.049,Bfre2m1n5,17,1.395724807,L. fremontii,0.245,0.706,0.134,0.197,1.144,1.154,172.834,0.259,1.562,0.288,0.465,0.087,0.318,1.165,1.169,172.019,0.352,1.402,0.2578383630617653,7.9809999999999945,3.600934538434539,4.652636054421769,1.2836725855348634,0.7524580067128248,0.4872522607821056
Bfre2m1n5r1,B,2,1,5,r,1,0.076,Bfre2m1n5,15,1.433266476,L. fremontii,0.25,0.403,0.149,0.278,1.124,1.136,167.827,0.286,1.461,0.256,0.469,0.17,0.305,1.127,1.145,166.665,0.305,1.459,0.1484457506692713,13.335000000000008,2.1667660208643817,2.953234375,1.2972012438916034,0.5115138148357814,0.4501179560355626
