Video_Code,Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Num_Vals,Velocity_Vals_m_sec
Hcal1m1n1r2,H,cal,1,1,1,r,2,0.093,Hcal1m1n1,15,1.496621875
Hcal1m1n1r3,H,cal,1,1,1,r,3,0.061,Hcal1m1n1,22,1.146830414
Hcal1m2n3d1,H,cal,1,2,3,d,1,0.092,Hcal1m2n3,11,1.77706008
Hcal1m2n3d2,H,cal,1,2,3,d,2,0.082,Hcal1m2n3,17,1.449603608
Hcal1m2n3d3,H,cal,1,2,3,d,3,0.097,Hcal1m2n3,20,1.272276702
Hcal1m2n3r1,H,cal,1,2,3,r,1,0.1,Hcal1m2n3,20,1.182648507
Hcal1m2n3r2,H,cal,1,2,3,r,2,0.102,Hcal1m2n3,20,1.239750959
Hcal1m2n3r3,H,cal,1,2,3,r,3,0.053,Hcal1m2n3,32,0.892458722
Afre1m2n1d1,A,fre,1,2,1,d,1,0.053,Afre1m2n1,18,1.28782666
Afre1m2n1d2,A,fre,1,2,1,d,2,0.054,Afre1m2n1,14,1.593228093
Afre1m2n1d3,A,fre,1,2,1,d,3,0.058,Afre1m2n1,23,1.075575239
Afre1m2n1r1,A,fre,1,2,1,r,1,0.054,Afre1m2n1,13,1.659988735
Afre1m2n1r2,A,fre,1,2,1,r,2,0.068,Afre1m2n1,14,1.445573235
Afre1m2n1r3,A,fre,1,2,1,r,3,0.078,Afre1m2n1,17,1.163741998
Afre1m2n5d1,A,fre,1,2,5,d,1,0.064,Afre1m2n5,24,1.063504506
Afre1m2n5d2,A,fre,1,2,5,d,2,0.059,Afre1m2n5,19,1.292064635
Afre1m2n5d3,A,fre,1,2,5,d,3,0.068,Afre1m2n5,15,1.572980651
Afre1m2n5r1,A,fre,1,2,5,r,1,0.073,Afre1m2n5,16,1.479922814
Afre1m2n5r2,A,fre,1,2,5,r,2,0.07,Afre1m2n5,18,1.291361463
Afre1m2n5r3,A,fre,1,2,5,r,3,0.074,Afre1m2n5,18,1.326676333
Bfre2m1n5d1,B,fre,2,1,5,d,1,0.037,Bfre2m1n5,20,1.17765051
Bfre2m1n5d2,B,fre,2,1,5,d,2,0.043,Bfre2m1n5,24,0.969632156
Bfre2m1n5d3,B,fre,2,1,5,d,3,0.049,Bfre2m1n5,17,1.395724807
Bfre2m1n5r1,B,fre,2,1,5,r,1,0.076,Bfre2m1n5,15,1.433266476
Bfre2m1n5r2,B,fre,2,1,5,r,2,0.08,Bfre2m1n5,13,1.607842451
Bfre2m1n5r3,B,fre,2,1,5,r,3,0.069,Bfre2m1n5,17,1.334396722
Bfre2m2n4d1,B,fre,2,2,4,d,1,0.042,Bfre2m2n4,15,1.416182423
Bfre2m2n4d2,B,fre,2,2,4,d,2,0.038,Bfre2m2n4,13,1.66640962
Bfre2m2n4d3,B,fre,2,2,4,d,3,0.031,Bfre2m2n4,17,1.295028016
Bfre2m2n4r1,B,fre,2,2,4,r,1,0.033,Bfre2m2n4,23,0.983198163
Bfre2m2n4r2,B,fre,2,2,4,r,2,0.06,Bfre2m2n4,17,1.408364424
Bfre2m2n4r3,B,fre,2,2,4,r,3,0.06,Bfre2m2n4,13,1.46221643
Dfre1m1n4d1,D,fre,1,1,4,d,1,0.022,Dfre1m1n4,22,1.073868039
Dfre1m1n4d2,D,fre,1,1,4,d,2,0.044,Dfre1m1n4,19,1.235370749
Dfre1m1n4d3,D,fre,1,1,4,d,3,0.027,Dfre1m1n4,21,1.199033034
Dfre1m1n4r1,D,fre,1,1,4,r,1,0.093,Dfre1m1n4,12,1.635960065
Dfre1m1n4r2,D,fre,1,1,4,r,2,0.078,Dfre1m1n4,17,1.356833801
Dfre1m1n4r3,D,fre,1,1,4,r,3,0.057,Dfre1m1n4,14,1.447229513
Dfre1m1n5d1,D,fre,1,1,5,d,1,0.016,Dfre1m1n5,37,0.691760319
Dfre1m1n5d2,D,fre,1,1,5,d,2,0.035,Dfre1m1n5,16,1.373056241
Dfre1m1n5d3,D,fre,1,1,5,d,3,0.04,Dfre1m1n5,21,1.085571241
Dfre1m1n5r1,D,fre,1,1,5,r,1,0.054,Dfre1m1n5,18,1.242532287
