Full ID,SppID,Hub,Transect,Mom,Time,Day,mean_speed_1m,mean_speed_10cm,mean_prop_speed
IcalT2M2,cal,I,2,2,15:24:00,8,3.91,1.136,0.2989755601610513
IcalT2M3,cal,I,2,3,07:33:00,14,6.938,2.818,0.41377190367121147
IfreT1M1,fre,I,1,1,15:13:00,8,4.4,1.048,0.23988723793408986
IfreT1M2,fre,I,1,2,07:21:00,14,6.422,2.47,0.38358105438985296
IfreT2M3,fre,I,2,3,15:21:00,8,5.244,1.29,0.2464467047824479
IglaT1M1,gla,I,1,1,15:09:00,8,4.3425,1.4425,0.33473955595346133
IglaT1M2,gla,I,1,2,09:13:00,5,4.99,2.01,0.424682472139591
IglaT1M3,gla,I,1,3,07:18:00,14,8.01,3.204,0.41262116071039956
IglaT2M1,gla,I,2,1,07:23:00,14,5.596,1.518,0.272124250475328
IglaT2M2,gla,I,2,2,15:16:00,8,4.47,1.06,0.24489132701299934
JcalT1M1,cal,J,1,1,10:45:00,17,3.0300000000000002,1.206,0.39906019052501174
JcalT1M2,cal,J,1,2,10:42:00,17,2.928,0.84,0.2896095170261554
JcalT1M3,cal,J,1,3,10:47:00,17,3.626,1.088,0.3045148862267254
JcalT2M1,cal,J,2,1,16:19:00,8,6.036,2.052,0.3378540484936952
JcalT2M3,cal,J,2,3,16:21:00,8,6.974,2.038,0.28937419579340284
JfreT1M1,fre,J,1,1,10:30:00,17,3.172,0.6,0.21875981349857665
JglaT1M1,gla,J,1,1,12:56:00,19,1.374,0.64,0.46320824182783443
JglaT2M1,gla,J,2,1,08:49:00,14,5.208,1.512,0.2835567752231437
JglaT2M3,gla,J,2,3,10:34:00,17,3.452,1.346,0.3912816223110847
