"","Full.ID","Species","SppID","Hub","Transect","Mom","Pin","Distance","Angle_Comp","Angle_Deg_fromN","Angle_Rad_fromN","Angle_Deg_fromE","Angle_Rad_fromE","Notes","Dist_x","Dist_y","mean_Dist_x","mean_Dist_y","ptcentdist"
"29","AcalT2M2","L. californica","cal","A",2,2,10,9.3,3,56.25,0.98,33.75,0.59,"",7.72774831563152,5.17415751308889,1.67343996746301,-0.0131997768162451,7.97266111331937
"30","AcalT2M2","L. californica","cal","A",2,2,11,11.3,4,78.75,1.37,11.25,0.2,"",11.074752329606,2.24496343798419,1.67343996746301,-0.0131997768162451,9.66871114654176
"31","AcalT2M2","L. californica","cal","A",2,2,12,9.8,5,101.25,1.77,168.75,2.95,"",-9.62068158938485,1.86614194413807,1.67343996746301,-0.0131997768162451,11.4494151398652
"32","AcalT2M2","L. californica","cal","A",2,2,13,7.3,6,123.75,2.16,326.25,5.69,"",6.05289928708608,-4.08073648014582,1.67343996746301,-0.0131997768162451,5.9769991438151
"33","AcalT2M2","L. californica","cal","A",2,2,14,10,6,123.75,2.16,326.25,5.69,"",8.29164285902202,-5.59004997280249,1.67343996746301,-0.0131997768162451,8.65458650787614
"34","AfreT2M1","L. fremontii","fre","A",2,1,1,11.5,5,101.25,1.77,168.75,2.95,"",-11.2895753344822,2.18986044465181,-11.3144622795663,2.92472032913071,0.735281177408996
"35","AfreT2M1","L. fremontii","fre","A",2,1,2,12.65,5,101.25,1.77,168.75,2.95,"",-12.4185328679304,2.40884648911699,-11.3144622795663,2.92472032913071,1.21864583981618
"36","AfreT2M1","L. fremontii","fre","A",2,1,3,11.5,5,101.25,1.77,168.75,2.95,"",-11.2895753344822,2.18986044465181,-11.3144622795663,2.92472032913071,0.735281177408996
"37","AfreT2M1","L. fremontii","fre","A",2,1,4,18.2,5,101.25,1.77,168.75,2.95,"",-17.8669800945719,3.46569218197069,-11.3144622795663,2.92472032913071,6.57481104378906
"38","AfreT2M1","L. fremontii","fre","A",2,1,5,16.8,5,101.25,1.77,168.75,2.95,"",-16.492597010374,3.19910047566525,-11.3144622795663,2.92472032913071,5.185399093147
"39","AfreT2M1","L. fremontii","fre","A",2,1,6,16.2,5,101.25,1.77,168.75,2.95,"",-15.903575688575,3.08484688724864,-11.3144622795663,2.92472032913071,4.59190618320517
"40","AfreT2M1","L. fremontii","fre","A",2,1,7,17.5,5,101.25,1.77,168.75,2.95,"",-17.1797885524729,3.33239632881797,-11.3144622795663,2.92472032913071,5.87947718835358
"41","AfreT2M1","L. fremontii","fre","A",2,1,8,16.25,5,101.25,1.77,168.75,2.95,"",-15.9526607987249,3.09436801961669,-11.3144622795663,2.92472032913071,4.64130001637604
"42","AfreT2M1","L. fremontii","fre","A",2,1,9,16.9,4,78.75,1.37,11.25,0.2,"",16.563125165517,3.35751169043653,-11.3144622795663,2.92472032913071,27.8809467221019
"43","AglaT1M3","L. glaberrima","gla","A",1,3,1,5.75,1,11.25,0.2,78.75,1.37,"",1.14683589573604,5.63447135304203,1.20214785292177,6.45503312708646,0.822423879535758
"44","AglaT1M3","L. glaberrima","gla","A",1,3,2,5.85,2,33.75,0.59,56.25,0.98,"",3.25858189858237,4.85840961737803,1.20214785292177,6.45503312708646,2.60348374604215
"45","AglaT1M3","L. glaberrima","gla","A",1,3,3,6.7,1,11.25,0.2,78.75,1.37,"",1.33631313068374,6.56538401137071,1.20214785292177,6.45503312708646,0.173717124715048
"46","AglaT1M3","L. glaberrima","gla","A",1,3,4,7.25,1,11.25,0.2,78.75,1.37,"",1.4460104772324,7.10433344513995,1.20214785292177,6.45503312708646,0.693584805600614
"47","AglaT1M3","L. glaberrima","gla","A",1,3,5,6.75,16,348.75,6.09,101.25,1.77,"",-1.33574949861149,6.61651519131931,1.20214785292177,6.45503312708646,2.54302957591697
"48","AglaT1M3","L. glaberrima","gla","A",1,3,6,7.55,2,33.75,0.59,56.25,0.98,"",4.20552022808494,6.27025514721438,1.20214785292177,6.45503312708646,3.00905110055294
"49","AglaT1M3","L. glaberrima","gla","A",1,3,7,8.3,16,348.75,6.09,101.25,1.77,"",-1.64247716125561,8.13586312414078,1.20214785292177,6.45503312708646,3.30410062653686
"50","BcalT2M2","L. californica","cal","B",2,2,1,14.2,2,33.75,0.59,56.25,0.98,"",7.90972016408029,11.793062660986,8.16026104798191,14.6542758705312,2.87216151443166
"51","BcalT2M2","L. californica","cal","B",2,2,2,15.1,2,33.75,0.59,56.25,0.98,"",8.41104045616988,12.5405102944288,8.16026104798191,14.6542758705312,2.12858996105095
"52","BcalT2M2","L. californica","cal","B",2,2,3,13.75,2,33.75,0.59,56.25,0.98,"",7.65906001803549,11.4193388442646,8.16026104798191,14.6542758705312,3.27353326488828
"53","BcalT2M2","L. californica","cal","B",2,2,4,14.5,2,33.75,0.59,56.25,0.98,"",8.07682692811015,12.0422118721336,8.16026104798191,14.6542758705312,2.61339617817197
