Full_ID,SppID,Hub,Transect,Mom,Pin,Distance,ptcentdist,max_surveg_length_mm,surveg_mass_g,mat_mass_mg,non_na_count,n_inflor,mean_speed_1m,mean_speed_10cm,mean_prop_speed_pcnt,mean_surveg_length_cm,veg_density_g_msqr,main_stem_length_cm,tot_mat_length_cm,mean_inflor_height_cm,var_inflor_height_cm,rel_inflor_height_svheight
AfreT2M1,fre,A,2,1,4,18.2,6.57,426.426,3.86,7.04,1,1,5.134,1.488,29.42,23.02,3.258,19.7,19.7,19.7,NA,85.58
AfreT2M1,fre,A,2,1,5,16.8,5.19,426.426,3.86,7.04,1,1,5.134,1.488,29.42,23.02,3.258,19.7,19.7,19.7,NA,85.58
AfreT2M1,fre,A,2,1,6,16.2,4.59,426.426,3.86,7.04,1,1,5.134,1.488,29.42,23.02,3.258,19.7,19.7,19.7,NA,85.58
AfreT2M1,fre,A,2,1,7,17.5,5.88,426.426,3.86,7.04,1,1,5.134,1.488,29.42,23.02,3.258,19.7,19.7,19.7,NA,85.58
AfreT2M1,fre,A,2,1,8,16.25,4.64,426.426,3.86,7.04,1,1,5.134,1.488,29.42,23.02,3.258,19.7,19.7,19.7,NA,85.58
AfreT2M1,fre,A,2,1,9,16.9,27.88,426.426,3.86,7.04,1,1,5.134,1.488,29.42,23.02,3.258,19.7,19.7,19.7,NA,85.58
AglaT1M3,gla,A,1,3,1,5.75,0.82,369.691,3.91,27.02,2,2,3.84,1.134,29.39,28.12,2.702,35.65,45.19,34.98,0.9,124.4
AglaT1M3,gla,A,1,3,2,5.85,2.6,369.691,3.91,27.02,2,2,3.84,1.134,29.39,28.12,2.702,35.65,45.19,34.98,0.9,124.4
AglaT1M3,gla,A,1,3,3,6.7,0.17,369.691,3.91,27.02,2,2,3.84,1.134,29.39,28.12,2.702,35.65,45.19,34.98,0.9,124.4
AglaT1M3,gla,A,1,3,4,7.25,0.69,369.691,3.91,27.02,2,2,3.84,1.134,29.39,28.12,2.702,35.65,45.19,34.98,0.9,124.4
AglaT1M3,gla,A,1,3,5,6.75,2.54,369.691,3.91,27.02,2,2,3.84,1.134,29.39,28.12,2.702,35.65,45.19,34.98,0.9,124.4
AglaT1M3,gla,A,1,3,6,7.55,3.01,369.691,3.91,27.02,2,2,3.84,1.134,29.39,28.12,2.702,35.65,45.19,34.98,0.9,124.4
AglaT1M3,gla,A,1,3,7,8.3,3.3,369.691,3.91,27.02,2,2,3.84,1.134,29.39,28.12,2.702,35.65,45.19,34.98,0.9,124.4
BcalT2M2,cal,B,2,2,1,14.2,2.87,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,2,15.1,2.13,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,3,13.75,3.27,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,4,14.5,2.61,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,5,14.3,2.78,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,6,14.25,2.83,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,7,15.5,1.84,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,8,17.9,1.82,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,9,18.35,2.14,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,10,16.4,1.42,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,11,17,1.41,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,12,18.75,2.46,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,13,15.35,5.11,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
